Genre_A,Genre_B,Title
인디,캐주얼,Pogostuck: Rage With Your Friends
액션,인디,SUPERHOT: MIND CONTROL DELETE
무료,인디,Doki Doki Literature Club
무료,캐주얼,Doki Doki Literature Club
인디,캐주얼,Doki Doki Literature Club
액션,인디,Blackout Z: Slaughterhouse Edition
액션,인디,Muse Dash
액션,캐주얼,Muse Dash
인디,캐주얼,Muse Dash
시뮬레이션,액션,Surgeon Simulator 2
시뮬레이션,인디,Surgeon Simulator 2
시뮬레이션,캐주얼,Surgeon Simulator 2
액션,인디,Surgeon Simulator 2
액션,캐주얼,Surgeon Simulator 2
인디,캐주얼,Surgeon Simulator 2
액션,,DOOM Eternal
시뮬레이션,액션,WHAT THE GOLF?
시뮬레이션,어드벤처,WHAT THE GOLF?
시뮬레이션,인디,WHAT THE GOLF?
시뮬레이션,캐주얼,WHAT THE GOLF?
액션,어드벤처,WHAT THE GOLF?
액션,인디,WHAT THE GOLF?
액션,캐주얼,WHAT THE GOLF?
어드벤처,인디,WHAT THE GOLF?
어드벤처,캐주얼,WHAT THE GOLF?
인디,캐주얼,WHAT THE GOLF?
무료,시뮬레이션,missed messages.
무료,인디,missed messages.
무료,캐주얼,missed messages.
시뮬레이션,인디,missed messages.
시뮬레이션,캐주얼,missed messages.
인디,캐주얼,missed messages.
액션,,JUMP FORCE
대규모 멀티플레이어,무료,Super Animal Royale
대규모 멀티플레이어,액션,Super Animal Royale
대규모 멀티플레이어,어드벤처,Super Animal Royale
대규모 멀티플레이어,인디,Super Animal Royale
대규모 멀티플레이어,캐주얼,Super Animal Royale
무료,액션,Super Animal Royale
무료,어드벤처,Super Animal Royale
무료,인디,Super Animal Royale
무료,캐주얼,Super Animal Royale
액션,어드벤처,Super Animal Royale
액션,인디,Super Animal Royale
액션,캐주얼,Super Animal Royale
어드벤처,인디,Super Animal Royale
어드벤처,캐주얼,Super Animal Royale
인디,캐주얼,Super Animal Royale
어드벤처,,Catherine Classic
액션,,GOD EATER 3
RPG,인디,Destiny or Fate
RPG,전략,Destiny or Fate
인디,전략,Destiny or Fate
스포츠,액션,DJMAX RESPECT V
스포츠,캐주얼,DJMAX RESPECT V
액션,캐주얼,DJMAX RESPECT V
액션,어드벤처,Chronos: Before the Ashes
액션,어드벤처,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated
액션,캐주얼,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated
어드벤처,캐주얼,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated
전략,캐주얼,Warhammer Underworlds: Online
RPG,,Digimon Story Cyber Sleuth: Complete Edition
레이싱,액션,Kao the Kangaroo: Round 2
레이싱,어드벤처,Kao the Kangaroo: Round 2
레이싱,캐주얼,Kao the Kangaroo: Round 2
액션,어드벤처,Kao the Kangaroo: Round 2
액션,캐주얼,Kao the Kangaroo: Round 2
어드벤처,캐주얼,Kao the Kangaroo: Round 2
무료,앞서 해보기,Eternal Return
무료,인디,Eternal Return
무료,전략,Eternal Return
앞서 해보기,인디,Eternal Return
앞서 해보기,전략,Eternal Return
인디,전략,Eternal Return
레이싱,액션,Crumble
레이싱,어드벤처,Crumble
레이싱,인디,Crumble
액션,어드벤처,Crumble
액션,인디,Crumble
어드벤처,인디,Crumble
앞서 해보기,액션,Seen
앞서 해보기,어드벤처,Seen
앞서 해보기,인디,Seen
액션,어드벤처,Seen
액션,인디,Seen
어드벤처,인디,Seen
RPG,액션,DRAGON QUEST BUILDERS™ 2
RPG,어드벤처,DRAGON QUEST BUILDERS™ 2
액션,어드벤처,DRAGON QUEST BUILDERS™ 2
대규모 멀티플레이어,스포츠,Fall Guys: Ultimate Knockout
대규모 멀티플레이어,액션,Fall Guys: Ultimate Knockout
대규모 멀티플레이어,인디,Fall Guys: Ultimate Knockout
대규모 멀티플레이어,캐주얼,Fall Guys: Ultimate Knockout
스포츠,액션,Fall Guys: Ultimate Knockout
스포츠,인디,Fall Guys: Ultimate Knockout
스포츠,캐주얼,Fall Guys: Ultimate Knockout
액션,인디,Fall Guys: Ultimate Knockout
액션,캐주얼,Fall Guys: Ultimate Knockout
인디,캐주얼,Fall Guys: Ultimate Knockout
앞서 해보기,액션,ALTF4
앞서 해보기,어드벤처,ALTF4
앞서 해보기,인디,ALTF4
액션,어드벤처,ALTF4
액션,인디,ALTF4
어드벤처,인디,ALTF4
RPG,액션,Hades
RPG,인디,Hades
액션,인디,Hades
액션,인디,GALAXIUM
액션,캐주얼,GALAXIUM
액션,캐주얼,GALAXIUM
무료,인디,Talesshop Puzzle
무료,캐주얼,Talesshop Puzzle
